Student_ID,Name,Age,Gender,Institution_Type,Board,Department,Class_Semester,Attendance,Study_Hours,Assignment_Completion,Previous_GPA,Participation_Score,Internet_Usage,Sleep_Hours,Subject_1_Name,Subject_1_Score,Subject_2_Name,Subject_2_Score,Subject_3_Name,Subject_3_Score,Subject_4_Name,Subject_4_Score,Subject_5_Name,Subject_5_Score,Final_Score,GPA,Grade,Academic_Health_Score,Risk_Level
STU00001,Vihaan Bansal,21,Female,Arts_Science,N/A,Psychology,Semester 1,54.64,2.07,76.43,5.99,5.96,1.69,8.04,Core_Subject_1,62.61,Core_Subject_2,67.77,Core_Subject_3,49.39,Language,51.05,Elective,53.91,48.31,4.83,D,53.81,High_Risk
STU00002,Aditya Menon,18,Other,Diploma,N/A,Polytechnic - Computer,Semester 7,86.92,5.57,81.84,7.19,10.0,2.59,6.23,Core_Subject_1,66.48,Core_Subject_2,80.32,Laboratory,59.04,Workshop,80.3,Elective,72.29,70.36,7.04,A,78.63,Low_Risk
STU00003,Siddharth Nair,17,Male,Engineering,N/A,Civil,Semester 6,88.83,4.94,79.49,7.51,2.94,2.76,6.29,Engineering_Mathematics,58.92,Programming,75.17,Data_Structures,66.35,DBMS,63.85,Operating_Systems,74.88,68.92,6.89,B,76.3,Low_Risk
STU00004,Vikram Sharma,24,Female,Postgraduate,N/A,MBA,Semester 2,63.42,2.42,56.53,7.3,6.3,4.78,6.34,Core_Subject_1,60.98,Core_Subject_2,55.93,Research_Methodology,48.65,Elective,47.01,Seminar,58.46,51.6,5.16,C,53.1,High_Risk
STU00005,Yash Kumar,19,Other,Arts_Science,N/A,Mathematics,Semester 2,74.5,4.63,41.94,4.18,3.22,1.41,7.42,Core_Subject_1,42.92,Core_Subject_2,62.87,Core_Subject_3,54.93,Language,46.36,Elective,54.11,37.21,3.72,F,59.1,High_Risk
STU00006,Meera Reddy,22,Female,Commerce,N/A,B.Com General,Semester 4,80.94,3.69,78.42,6.53,9.36,2.92,5.57,Accountancy,67.15,Business_Studies,80.84,Economics,74.96,Statistics,50.54,Elective,54.15,55.64,5.56,C,69.61,Low_Risk
STU00007,Vikram Joshi,14,Male,School,State_Board,General,Class 8,84.08,6.56,100.0,10.0,6.87,1.42,4.13,Mathematics,77.18,Science,72.04,Social_Science,82.9,English,79.46,Second_Language,61.14,72.86,7.29,A,84.46,Low_Risk
STU00008,Arjun Patel,22,Female,Diploma,N/A,Polytechnic - Computer,Semester 8,92.78,3.75,51.49,4.96,4.48,7.66,5.83,Core_Subject_1,57.46,Core_Subject_2,64.74,Laboratory,52.82,Workshop,50.77,Elective,44.21,45.08,4.51,D,65.65,Medium_Risk
STU00009,Reyansh Desai,29,Other,Postgraduate,N/A,M.A Economics,Semester 1,83.72,7.54,78.17,5.84,8.32,4.26,8.9,Core_Subject_1,63.86,Core_Subject_2,64.28,Research_Methodology,82.95,Elective,72.19,Seminar,53.9,67.87,6.79,B,80.65,Low_Risk
STU00010,Priya Menon,17,Female,Arts_Science,N/A,Physics,Semester 8,98.3,4.99,86.23,3.22,5.9,1.71,5.32,Core_Subject_1,51.46,Core_Subject_2,62.65,Core_Subject_3,58.89,Language,63.1,Elective,72.57,60.11,6.01,B,79.56,Low_Risk
